Common name,Taxonomy
Brown-point shield skin longirostris,Aspidoras-fuscoguttatus
,Aspidoras-lakoi
Loach catfish,Aspidoras-rochai
"Sixray corydoras, false corydoras",Aspidoras-pauciradiatus
Britski's catfish,Brochis-britskii
Emerald catfish,Brochis-splendens
Hognosed brochis,Brochis-multiradiatus
Cascarudo,Callichthys-callichthys
Adolfo's catfish/corydoras,Corydoras-adolfoi
Banded corydoras,Scleromystax-barbatus
"Masked corydoras, bandit corydoras",Corydoras-metae
Barred-tail corydoras,Corydoras-cochui
Blackstripe corydoras,Corydoras-bondi
Blacktop corydoras,Corydoras-acutus
Blue corydoras,Corydoras-nattereri
Bluespotted corydoras,Corydoras-melanistius
"Bronze corydoras, Emerald green cory",Corydoras-aeneus
Caracha,Corydoras-atropersonatus
Ehrhardt's corydoras,Corydoras-ehrhardti
Evelyn's cory,Corydoras-evelynae
,Corydoras-geoffroy
,Corydoras-latus
Loxozonus cory,Corydoras-loxozonus
Corydoras nain,Corydoras-nanus
Long nosed arched cory,Corydoras-narcissus
,Corydoras-ornatus
,Corydoras-osteocarus
,Corydoras-polystictus
,Scleromystax-prionotos
,Corydoras-semiaquilus
,Corydoras-septentrionalis
,Corydoras-simulatus
,Corydoras-undulatus
Dwarf corydoras,Corydoras-hastatus
Elegant corydoras,Corydoras-elegans
False network catfish,Corydoras-sodalis
False spotted catfish,Corydoras-leucomelas
Gold laser cory,Corydoras-melanotaenia
Guapore corydoras,Corydoras-guapore
"Mosaic corydoras, reticulated corydoras",Corydoras-haraldschultzi
"Mosaic corydoras, reticulated corydoras",Corydoras-reticulatus
Panda corydoras,Corydoras-panda
Pastaza corydoras,Corydoras-pastazensis
"Peppered corydoras, salt and pepper catfish",Corydoras-paleatus
Pink corydoras,Corydoras-axelrodi
Pygmy corydoras,Corydoras-pygmaeus
Sailfin corydoras,Scleromystax-macropterus
Salt and pepper catfish/corydoras,Corydoras-habrosus
Schwartz's catfish,Corydoras-schwartzi
"Spotted corydoras, longnose corydoras",Corydoras-ambiacus
Sterba's corydoras,Corydoras-sterbai
Sychr's catfish,Corydoras-sychri
Tailspot corydoras,Corydoras-caudimaculatus
"Threestripe corydoras, leopard catfish, false julii cory",Corydoras-trilineatus
Xingu corydoras,Corydoras-xinguensis
Julii corydoras,Corydoras-julii
Flagtail catfish,Dianema-urostriatum
"Bristlenose pleco, bushynose pleco",Ancistrus-spp.
Gold nugget pleco,Baryancistrus-spp.
Whiptail catfish,Rineloricaria-spp.
Twig catfish,Farlowella-spp.
Panaque,Panaque-spp.
"Pineapple pleco, orange cheek pleco",Pseudorinelepis-spp.
"Common pleco, suckermouth catfish, Amazon sailfin catfish",Pterygoplichthys-pardalis
"Common pleco, suckermouth catfish",Hypostomus-punctatus
"Common pleco, suckermouth catfish",Hypostomus-plecostomus
"Leopard sailfin pleco, clown sailfin pleco",Pterygoplichthys-gibbiceps
"Zebra pleco, L-046",Hypancistrus-zebra
Sailfin catfish,Pterygoplichthys-multiradiatus
"Golden dwarf sucker, golden oto",Macrotocinclus-affinis
"Zebra dwarf sucker, zebra oto",Otocinclus-cocama
Bolt catfish,Aguarunichthys-torosus
Gold Zebra catfish,Brachyplatystoma-juruense
Zebra shovelnose,Brachyplatystoma-tigrinum
"Vulture Catfish, zamurito",Calophysus-macropterus
,Leiarius-marmoratus
,Leiarius-pictus
Redtail catfish,Phractocephalus-hemioliopterus
"Spotted pimelodus, pictus, pictus catfish",Pimelodus-pictus
Ornate Pimelodus,Pimelodus-ornatus
Sturgeon catfish,Platystomatichthys-sturio
Barred sorubim,Pseudoplatystoma-fasciatum
Tiger sorubim,Pseudoplatystoma-tigrinum
"Firewood catfish, (planiceps) shovelnose catfish",Sorubimichthys-planiceps
Lima shovelnose catfish,Sorubium-lima
Cuckoo squeaker,Synodontis-multipunctatus
Decorated squeaker,Synodontis-decorus
Even-Spotted squeaker,Synodontis-petricola
Featherfin squeaker,Synodontis-eupterus
Lake Malawi syno,Synodontis-njassae
Polka dot syno,Synodontis-angelicus
"Common syno, false upside-down catfish",Synodontis-nigrita
Upside-down catfish,Synodontis-nigriventris
Three-striped African catfish,Pareutropius-buffei
Giraffe catfish,Auchenoglanis-occidentalis
Electric catfish,Malapterurus-electricus
Black lancer catfish,Bagrichthys-macracanthus
Harlequin lancer catfish,Bagroides-melapterus
Crystal-eyed catfish,Hemibagrus-wyckii
Asian redtail catfish,Hemibagrus-wyckioides
Shadow catfish,Hyalobagrus-flavus
,Mystus-bimaculatus
Dwarf bumblebee catfish,Pseudomystus-leiacanthus
Asian bumblebee catfish,Pseudomystus-siamensis
Dinema catfish,Belodontichthys-dinema
Glass catfish,Kryptopterus-vitreolus
Striped glass catfish,Kryptopterus-macrocephalus
Borneo glass catfish,Ompok-eugeneiatus
Striped wallago catfish,Wallago-leerii
Chocolate frogmouth catfish,Chaca-bankanensis
Asian banjo catfish,Acrochordonichthys-rugosus
Walking catfish,Clarias-batrachus
Stinging catfish,Heteropneustes-fossilis
Sun catfish,Horabagrus-brachysoma
Iridescent shark,Pangasianodon-hypophthalmus
"Chao Phraya giant shark, giant pangasius",Pangasius-sanitwongsei
Colombian shark catfish,Ariopsis-seemanni
Blue whale catfish,Cetopsis-coecutiens
Banjo catfish,Bunocephalus-coracoideus
Striped raphael catfish,Platydoras-armatulus
Spotted raphael catfish,Agamyxis-pectinifrons
Bottlenose catfish,Ageneiosus-marmoratus
Gulper catfish,Asterophysus-batrachus
Midnight catfish,Auchenipterichthys-coracoideus
Oil catfish,Centromochlus-perugiae
Jaguar catfish,Liosomadoras-oncinus
Pygmy driftwood catfish,Trachelyichthys-exilis
,Trachelyopterus-fisheri
Black phantom tetra,Hyphessobrycon-megalopterus
Black neon tetra,Hyphessobrycon-herbertaxelrodi
"Black tetra, skirt tetra",Gymnocorymbus-ternetzi
Bleeding heart tetra,Hyphessobrycon-erythrostigma
Bloodfin tetra,Aphyocharax-anisitsi
Blue tetra,Knodus-borki
Bucktooth tetra,Exodon-paradoxus
Buenos Aires tetra,Hyphessobrycon-anisitsi
Cardinal tetra,Paracheirodon-axelrodi
"Cave tetra, blind tetra",Astyanax-mexicanus
Diamond tetra,Moenkhausia-pittieri
Ember tetra,Hyphessobrycon-amandae
Emperor tetra,Nematobrycon-palmeri
Flame tetra,Hyphessobrycon-flammeus
"Garnet tetra, pretty tetra",Hemigrammus-pulcher
Glass bloodfin tetra,Prionobrama-filigera
Glowlight tetra,Hemigrammus-erythrozonus
Golden pristella tetra,Pristella-maxillaris
Green neon tetra,Paracheirodon-simulans
Head and tail light tetra,Hemigrammus-ocellifer
January tetra,Hemigrammus-hyanuary
Lemon tetra,Hyphessobrycon-pulchripinnis
Neon tetra,Paracheirodon-innesi
Ornate tetra,Hyphessobrycon-bentosi
"Penguin tetra, blackline penguinfish",Thayeria-boehlkei
Red Eye tetra,Moenkhausia-sanctaefilomenae
Red phantom tetra,Hyphessobrycon-sweglesi
Rosy tetra,Hyphessobrycon-rosaceus
Royal tetra,Inpaichthys-kerri
Rummy-nose tetra,Hemigrammus-rhodostomus
Splash tetra,Copella-arnoldi
Serpae tetra,Hyphessobrycon-serpae
Silvertip tetra,Hasemania-nana
X-ray tetra,Pristella-maxillaris
Congo tetra,Phenacogrammus-interruptus
Jellybean tetra,Ladigesia-roloffi
Long-fin tetra,Brycinus-longipinnis
Niger tetra,Arnoldichthys-spilopterus
Yellow-tailed Congo tetra,Alestopetersius-caudalis
Common hatchetfish,Gasteropelecus-sternicla
Marbled hatchetfish,Carnegiella-strigata
Black-winged hatchetfish,Carnegiella-marthae
Golden pencilfish,Nannostomus-beckfordi
Hockeystick pencilfish,Nannostomus-eques
Barred pencilfish,Nannostomus-espei
Dwarf pencilfish,Nannostomus-marginatus
Coral-red pencilfish,Nannostomus-mortenthaleri
,Nannostomus-nigrotaeniatus
Three-lined pencilfish,Nannostomus-trifasciatus
One-lined Pencilfish,Nannostomus-unifasciatus
Silver dollar,Metynnis-argenteus
Red-bellied pacu,Colossoma-bidens
Red piranha,Pygocentrus-nattereri
Disk tetra,Myleus-schomburgkii
African pike characin,Hepsetus-odoe
Goliath tigerfish,Hydrocynus-goliath
Hujeta gar,Ctenolucius-hujeta
"Kissing prochilodus, flagtail Prochilodus",Semaprochilodus-insignis
Marbled headstander,Abramites-hypselonotus
Banded leporinus,Leporinus-fasciatus
Striped headstander,Anostomus-anostomus
Six-banded distichodus,Distichodus-sexfasciatus
Payara,Hydrolycus-scomberoides
Pink-tail chalceus,Chalceus-macrolepidotus
Red wolf fish,Erythrinus-erythrinus
Red tail barracuda,Acestrorhynchus-falcatus
Spotted headstander,Chilodus-punctatus
Sunshine peacock cichlid,Aulonocara-baenschi
Pale usisya aulonocara,Aulonocara-steveni
Red fin hap,Copadichromis-borleyi
Eureka red peacock,Aulonocara-jacobfreibergi
Spilo,Champsochromis-spilorhynchus
"Blue dolphin cichlid, lumphead cichlid",Cyrtocara-moorii
"Afra cichlid, dogtooth cichild",Cynotilapia-afra
"Rusty cichlid, lavender cichild",Iodotropheus-sprengerae
"Fuelleborn's cichlid, Blue mbuna",Labeotropheus-fuelleborni
Electric yellow cichlid,Labidochromis-caeruleus
Electric blue cichlid,Sciaenochromis-fryeri
Malawi eyebiter,Dimidiochromis-compressiceps
"Hongi, Red-top kimpumpa","Labidochromis-sp.-""Hongi"""
Yellow Top Mbamba,"Labidochromis-sp.-""Mbamba-Bay"""
"Auratus cichlid, Malawi golden cichlid",Melanochromis-auratus
Chipokee cichlid,Melanochromis-chipokae
"Blue johanni cichlid, Maingano",Melanochromis-cyaneorhabdos
Pearl of Likoma,Melanochromis-joanjohnsonae
Aurora,Melanochromis-aurora
Red zebra cichlid,Metriaclima-estherae
"Cobalt blue cichlid, cobalt zebra cichlid",Maylandia-callainos
Kenyi cichlid,Maylandia-lombardoi
Fusco,Nimbochromis-fuscotaeniatus
Livingston's cichlid,Nimbochromis-livingstonii
Kaligono,Nimbochromis-polystigma
"Venustus cichlid, giraffe cichild",Nimbochromis-venustus
Red empress cichlid,Protomelas-taeniolatus
"Bumblebee cichlid, hornet cichlid",Pseudotropheus-crabro
Yellow-tail acei,Pseudotropheus-acei
Johanni cichlid,Pseudotropheus-johannii
Dwarf Mbuna,Pseudotropheus-demasoni
Saulosi,Pseudotropheus-saulosi
Malawi barracuda,Rhampsochromis-cf.-macrophthalmus
,Tyrannochromis-macrostoma
,Benthochromis-tricoti
,Boulengerochromis-microlepis
Frontosa cichild,Cyphotilapia-frontosa
,Cyathopharynx-furcifer
,Variabilichromis-moorii
Frontosa cichild,Cyphotilapia-gibberosa
Frontosa cichild,"Cyphotilapia-sp.-""North"""
Julie cichlid,Julidochromis-dickfeldi
Masked Julie,Julidochromis-marlieri
Golden Julie,Julidochromis-ornatus
Julie cichlid,Julidochromis-regani
Julie cichlid,Julidochromis-transcriptus
"Herring cichlid, sardine cichlid",Cyprichromis-leptosoma
,Ectodus-descampsii
,Chalinochromis-spp.
,Neolamprologus-multifasciatus
,Lamprologus-ocellatus
,Neolamprologus-similis
,Lobochilotes-labiatus
"Lyretail cichlid, fairy cichlid",Neolamprologus-brichardi
Lemon cichlid,Neolamprologus-leleupi
Featherfin,Ophthalmotilapia-ventralis
,Petrochromis-trewavasae
,Simochromis-pleurospilus
,Tropheus-duboisi
,Tropheus-moorii
,Tropheus-polli
,Astatotilapia-aenocolor
,Astatotilapia-elegans
Zebra obliquidens,Astatotilapia-latifasciata
,Astatotilapia-nubila
,Astatotilapia-piceatus
,Astatotilapia-schubotziellus
,"Astatotilapia-sp.-""Red-Tail"""
,"Astatotilapia-sp.-""Spot-Bar"""
Allauad's haplo,Astatoreochromis-alluaudi
Hippo Point Salmon,"Ptyochromis-sp.-""Hippo-Point-Salmon"""
Flameback,Pundamilia-nyererei
,Xystichromis-phytophagus
African butterfly cichlid,Anomalochromis-thomasi
"Jewel cichlid, two-spotted jewel cichlid",Hemichromis-bimaculatus
Lionhead cichlid,Steatocranus-casuarius
"Lifalili jewel cichlid, blood-red jewel cichlid",Hemichromis-lifalili
"Kribensis, krib",Pelvicachromis-pulcher
"Kribensis, krib, many common names because of many subspecies",Pelvicachromis-taeniatus
Guenther's Mouthbrooder,Chromidotilapia-guentheri
Agassiz's dwarf cichlid,Apistogramma-agassizii
Zebra acara,Nannacara-adoketa
Yellow dwarf cichlid,Apistogramma-borellii
Cockatoo dwarf cichlid,Apistogramma-cacatuoides
Panda dwarf cichlid,Apistogramma-nijsseni
Three-Stripe Dwarf Cichlid,Apistogramma-trifasciata
,Apistogramma-eremnopyge
Two-Stripe Dwarf Cichlid,Apistogramma-bitaeniata
Checkerboard Cichlid,Dicrossus-filamentosus
"Blue ram, German ram",Mikrogeophagus-ramirezi
Bolivian ram,Mikrogeophagus-altispinosa
Dwarf flag cichlid,Laetacara-curviceps
"Midas cichild, red devil cichlid",Amphilophus-citrinellus
Poor man's tropheus,Hypsophrys-nematopus
Red devil cichlid,Amphilophus-labiatus
Firemouth cichlid,Cichlasoma-meeki
Jack Dempsey cichlid,Rocio-octofasciata
"Jaguar cichlid, managuense cichlid",Parachromis-managuensis
Mayan cichlid,Mayaheros-urophthalmus
Convict cichlid,Archocentrus-nigrofasciatus
T-bar cichlid,Amatitlania-sajica
Wolf cichlid,Parachromis-dovii
"Texas cichlid, Rio Grande cichlid",Herichthys-cyanoguttatus
Severum,Heros-efasciatus
Green terror,Andinoacara-rivulatus
Blue acara,Andinoacara-pulcher
Thread-finned acara,Acarichthys-heckelii
Eartheater cichlid,Geophagus-altifrons
"Greenstreaked Eartheater, cupid cichlid",Biotodoma-cupido
Keyhole cichlid,Cleithracara-maronii
Flag cichlid,Mesonauta-festivus
Angelfish,Pterophyllum-scalare
Altum angelfish,Pterophyllum-altum
Spotted angelfish,Pterophyllum-leopoldi
"Common discus, red discus",Symphysodon-discus
"Blue discus, green discus",Symphysodon-aequifasciatus
Chocolate cichlid,Hypselecara-temporalis
Oscar,Astronotus-ocellatus
"Uaru, waroo",Uaru-amphiacanthoides
"Peacock bass, butterfly peacock bass",Cichla-orinocensis
Canara pearlspot,Etroplus-canarensis
Green chromide,Etroplus-suratensis
Orange chromide,Etroplus-maculatus
Pinstripe damba,Paretroplus-menarambo
Blood parrot cichlid,(Amphilophus-citrinellus-Ã—-Vieja-melanurus)
Flowerhorn cichlid,Cichlasoma-sp.
Arulius barb,Dawkinsia-arulius
"Bigspot barb, Duncker's barb",Barbodes-dunckeri
Black ruby barb,Pethia-nigrofasciatus
Cherry barb,Puntius-titteya
Clipper barb,Enteromius-callipterus
Clown barb,Barbodes-everetti
"Denison's barb, red line torpedo barb",Sahyadria-denisonii
Gold barb,Barbodes-semifasciolatus
Golden barb,Pethia-gelius
Greenstripe barb,Puntius-vittatus
Indian Glass Barb,Laubuka-laubuca
Melon barb,Puntius-fasciatus
Odessa barb,Puntius-padamya
Onespot barb,Puntius-terio
Panda barb,Puntius-fasciatus
Pool barb,Puntius-sophore
Partipentazona barb,Puntigrus-partipentazona
Rosy barb,Pethia-conchonius
Shortfin barb,Barbus-brevipinnis
Snakeskin barb,Desmopuntius-rhomboocellatus
"Spottedsail barb, dwarf barb",Pethia-phutunio
Swamp barb,Puntius-chola
Ticto barb,Barbus-ticto
Tic-tac-toe barb,Puntius-stoliczkanus
"Tiger barb, sumatra barb",Puntius-tetrazona
"Spanner barb, t-barb",Barbodes-lateristriga
"Fiveband barb, pentazona barb",Desmopuntius-hexazona
Checker barb,Oliotius-oligolepis
Tinfoil barb,Barbonymus-schwanenfeldii
Bala shark,Balantiocheilus-melanopterus
Black shark,Labeo-chrysophekadion
"Siamese algae eater, fringe barb",Crossocheilus-oblongus
Flying fox (fish),Epalzeorhynchos-kalopterus
Red-tailed black shark,Epalzeorhynchos-bicolor
Rainbow shark,Epalzeorhynchos-frenatum
"Cambodian log sucker, false Siamese algae eater",Garra-cambodgiensis
algae eater,Gyrinocheilus-aymonieri
Espei rasbora,Trigonostigma-espei
Harlequin rasbora,Trigonostigma-heteromorpha
Glowlight rasbora,Trigonostigma-hengeli
Red-striped rasbora,Trigonopoma-pauciperforata
Dwarf rasbora,Boraras-maculatus
Eyespot rasbora,Brevibora-dorsiocellata
Brilliant rasbora,Rasbora-einthovenii
Clown rasbora,Rasbora-kalochroma
Scissortail rasbora,Rasbora-trilineata
Volcano rasbora,Rasbora-vulcanus
"Blackline rasbora, red-tailed rasbora",Rasbora-borapetensis
,Sundadanio-axelrodi
Pearl danio,Danio-albolineatus
"Bengal danio, Sind danio",Devario-devario
Giant danio,Devario-aequipinnatus
Malabar danio,Devario-malabaricus
Queen danio,Devario-regina
Spotted danio,Danio-nigrofasciatus
Turquoise danio,Danio-kerri
Zebra danio,Danio-rerio
Goldfish,Carassius-auratus
"Koi, common carp",Cyprinus-carpio
Bitterling,Rhodeus-amarus
White Cloud Mountain minnow,Tanichthys-albonubes
Red shiner,Cyprinella-lutrensis
Common dace,Leuciscus-leuciscus
"Rosy red minnow, fathead minnow",Pimephales-promelas
Rainbow shiner,Notropis-chrosomus
European minnow,Phoxinus-phoxinus
Southern redbelly dace,Phoxinus-erythrogaster
Tench,Tinca-tinca
Golden orfe,Leuciscus-idus
Chinese high fin banded shark,Myxocyprinus-asiaticus
Saddle-back Loach,Homaloptera-orthogoniata
Fork-tailed loach,Vaillantella-maassi
Horseface loach,Acantopsis-dialuzona
Weather Loach[17],Misgurnus-anguillicaudatus[18]
,Pangio-anguillaris
"Kuhli loach, coolie loach",Pangio-kuhlii
Java loach,Pangio-oblonga
Clown loach,Chromobotia-macracanthus
Green tiger loach,Syncrossus-hymenophysa
Banded tiger loach,Syncrossus-helodes
Redfin tiger loach,Syncrossus-berdmorei
Dwarf botia,Ambastaia-sidthimunki
Yoyo loach,Botia-almorhae
Bengal loach,Botia-dario
,Botia-histrionica
Polka-Dot Loach,Botia-kubotai
Gangetic loach,Botia-rostrata
Zebra loach,Botia-striata
Redtail loach,Yasuhikotakia-modesta
Skunk loach,Yasuhikotakia-morleti
,Yasuhikotakia-splendida
Borneo hillstream loach,Gastromyzon-sp.
Tiger hillstream loach,Sewellia-lineolata
Butterfly hillstream loach,Beaufortia-kweichowensis
Guppy,Poecilia-reticulata
Endler's livebearer,Poecilia-wingei
Black molly,Poecilia-sphenops
Sailfin molly,Poecilia-latipinna
Dalmatian molly,hybrid
Lyretail Molly,hybrid
Southern platy,Xiphophorus-maculatus
Variable platy,Xiphophorus-variatus
Green swordtail,Xiphophorus-hellerii
Largescale four-eyed fish,Anableps-anableps
Pike topminnow,Belonesox-belizanus
Cuban lima,Limia-vittata
Knife livebearer,Alfaro-cultratus
Least killifish,Heterandria-formosa
Tanganyika killifish,Lamprichthys-tanganicanus
Norman's lampeye,Poropanchax-normani
Celebes halfbeak,Nomorhamphus-liemi
Wrestling halfbeak,Dermogenys-pusilla
Forest halfbeak,Hemirhamphodon-pogonognathus
Blue Lyretail,Fundulopanchax-gardneri
"Clown Killifish, rocket killifish",Epiplatys-annulatus
"Bluefin Notho, Rachow's Notho, Rainbow Notho",Nothobranchius-rachovii
"Striped panchax, Golden Wonder",Aplocheilus-lineatus
American Flagfish,Jordanella-floridae
Argentine Pearl,Austrolebias-nigripinnis
Golden Toppminnow,Fundulus-chrysotus
Northern Studfish,Fundulus-catenatus
Red-seam Killifish,Aphyosemion-calliurum
Arabian Killifish,Aphanius-dispar
Dwarf gourami,Trichogaster-lalius
Paradise fish,Macropodus-opercularis
"Pygmy gourami, Sparkling gourami",Trichopsis-pumila
Moonlight gourami,Trichopodus-microlepis
Snakeskin gourami,Trichopodus-pectoralis
"Siamese fighting fish (sometimes Betta, esp. US)",Betta-splendens
Malay combtail,Belontia-hasselti
Slender betta,Betta-bellica
,Betta-burdigala
Scarlet betta,Betta-coccina
Crescent betta,Betta-imbellis
,Betta-miniopinna
Toba betta,Betta-rubra
,Betta-simorum
Giant Pikehead,Luciocephalus-pulcher
,Parosphromenus-phoenicurus
Chocolate gourami,Sphaerichthys-osphromenoides
Pearl gourami,Trichopodus-leerii
Three spot gourami,Trichopodus-trichopterus
Croaking gourami,Trichopsis-vittata
Giant gourami,Osphronemus-goramy
Kissing gourami,Helostoma-temminckii
Climbing perch,Anabas-testudineus
Leopard bush fish,Ctenopoma-acutirostre
African leaffish,Polycentropsis-abbreviata
Bornean leaffish,Nandus-nebulosus
Malayan leaffish,Pristolepis-fasciata
Forest snakehead,Channa-lucius
Dwarf snakehead,Channa-gachua
Emperor snakehead,Channa-marulioides
Giant snakehead,Channa-micropeltes
Ocellated snakehead,Channa-pleurophthalma
African snakehead,Parachanna-obscura
Red rainbowfish,Glossolepis-incisus
Lake Wanam rainbowfish,Glossolepis-wanamensis
Threadfin rainbowfish,Iriatherina-werneri
New Guinea rainbowfish,Melanotaenia-affinis
Western rainbowfish,Melanotaenia-australis
Boeseman's rainbowfish,Melanotaenia-boesemani
Duboulayi's rainbowfish,Melanotaenia-duboulayi
Australian rainbowfish,Melanotaenia-fluviatilis
Lake Tebera rainbowfish,Melanotaenia-herbertaxelrodi
Lake Kutubu rainbowfish,Melanotaenia-lacustris
Lake Kurumoi rainbowfish,Melanotaenia-parva
Neon rainbowfish,Melanotaenia-praecox
Eastern rainbowfish,Melanotaenia-splendida-splendida
Banded rainbowfish,Melanotaenia-trifasciata
Celebes rainbow,Marosatherina-ladigesi
Forktail blue-eye,Pseudomugil-furcatus
Spotted blue-eye,Pseudomugil-gertrudae
Pacific blue-eye,Pseudomugil-signifer
Delicate blue-eye,Pseudomugil-tenellus
Madagascar rainbowfish,Bedotia-madagascariensis
Empire gudgeon,Hypseleotris-compressa
Purple sleeper gudgeon,Mogurnda-mogurnda
Peacock gudgeon,Tateurndina-ocellicauda
Black toraja goby,Mugilogobius-sarasinorum
Bumblebee goby,Brachygobius-doriae
Knight goby,Stigmatogobius-sadanundio
Rainbow stiphodon,Stiphodon-ornatus
Cobalt blue goby,Stiphodon-semoni
,Sicyopus-zosterophorus
Bearded worm goby,Taenioides-cirratus
Marbled goby,Oxyeleotris-marmorata
Crazy fish,Butis-butis
,Rhinogobius-duospilus
"Dragon goby, Violet goby",Gobioides-broussonnetii
Striped sleeper goby,Dormitator-maculatus
Pygmy sunfish,Elassomatidae
Blackbanded sunfish,Enneacanthus-chaetodon
Blue-spotted sunfish,Enneacanthus-gloriosus
Redbreast sunfish,Lepomis-auritus
Green sunfish,Lepomis-cyanellus
Orangespotted sunfish,Lepomis-humilis
Pumpkinseed,Lepomis-gibbosus
Warmouth,Lepomis-gulosus
Bluegill,Lepomis-macrochirus
Dollar sunfish,Lepomis-marginatus
Longear sunfish,Lepomis-megalotis
Redear sunfish,Lepomis-microlophus
Redspotted sunfish,Lepomis-miniatus
Northern sunfish,Lepomis-peltastes
Spotted sunfish,Lepomis-punctatus
"Gray bichir, Senegal bichir, or dinosaur bichir",Polypterus-senegalus
Ornate bichir,Polypterus-ornatipinnis
Retropinnis bichir,Polypterus-retropinnis
Barred bichir,Polypterus-delhezi
Saddled bichir,Polypterus-endlicheri
Reedfish,Erpetoichthys-calabaricus
Hingemouth,Phractolaemus-ansorgii
Blunt-jawed elephantnose,Campylomormyrus-tamandua
Peters' elephant nose,Gnathonemus-petersii
African butterflyfish,Pantodon-buchholzi
Aba aba,Gymnarchus-niloticus
Reticulated knifefish,Papyrocranus-afer
African brown knifefish,Xenomystus-nigri
Clown knifefish,Chitala-ornata
Asian arowana,Scleropages-formosus
Silver arowana,Osteoglossum-bicirrhosum
Freshwater pipefish,Doryichthys-martensii
African freshwater pipefish,Enneacampus-ansorgii
Fire eel,Mastacembelus-erythrotaenia
Tire track eel,Mastacembelus-armatus
Spotfinned spiny eel,Macrognathus-siamensis
Half-banded spiny eel,Macrognathus-circumcinctus
Lesser spiny eel,Macrognathus-aculeatus
Freshwater sole,Brachirus-panoides
Freshwater needlefish,Xenentodon-cancila
Javanese ricefish,Oryzias-javanicus
Daisy's Ricefish,Oryzias-woworae
Indian glassy fish,Parambassis-ranga
Amazon leaffish,Monocirrhus-polyacanthus
,Gymnochanda-filamentosa
Indonesian tigerfish,Datnioides-microlepis
Silver tigerfish,Datnioides-polota
Banded archerfish,Toxotes-jaculatrix
Spotted scat,Scatophagus-argus
Green spotted puffer,Dichotomyctere-nigroviridis
Humpback Puffer,Pao-palembangensis
Red-tail dwarf puffer,Carinotetraodon-irrubesco
Golden puffer,Auriglobus-modestus
Figure 8 pufferfish,Tetraodon-biocellatus
Dwarf pufferfish,Carinotetraodon-travancoricus
Fahaka puffer,Tetraodon-lineatus
MBU puffer,Tetraodon-mbu
Congo pufferfish,Tetraodon-miurus
Amazon puffer,Colomesus-asellus
West African lungfish,Protopterus-annectens
Spotted lungfish,Protopterus-dolloi
South American lungfish,Lepidosiren-paradoxa
Ocellate river stingray,Potamotrygon-motoro
Black devil stingray,Potamotrygon-leopoldi
Black ghost knifefish,Apteronotus-albifrons
Brown ghost knifefish,Apteronotus-leptorhynchus
Electric eel,Electrophorus-electricus
Glass knifefish,Eigenmannia-virescens
Sterlet,Acipenser-ruthenus
Shovelnose Sturgeon,Scaphirhynchus-platorynchus
Spotted Gar,Lepisosteus-oculatus
Longnose Gar,Lepisosteus-osseus
Florida Gar,Lepisosteus-platyrhincus
Alligator Gar,Atractosteus-spatula
Cuban Gar,Atractosteus-tristoechus
Tropical Gar,Atractosteus-tropicus
Freshwater blenny,Salaria-fluviatilis
Pickerel,Esox-americanus
Brook stickleback,Culaea-inconstans
European Perch,Perca-fluviatilis
Banded darter,Etheostoma-zonale
Gilt darter,Percina-evides
Orangethroat darter,Etheostoma-spectabile
Rainbow darter,Etheostoma-caeruleum
Splendid darter,Etheostoma-barrenense
